,Titles,Column_Titles,description,URLs
305,Economic activity status by sex by employment history,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Economic activity status (7 categories) Code', 'Economic activity status (7 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Employment history (4 categories) Code', 'Employment history (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status, by sex, and by whether and when they were last employed. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM025/editions/2021/versions/1
306,Economic activity status by sex by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Economic activity status (7 categories) Code', 'Economic activity status (7 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM024/editions/2021/versions/1
307,Economic activity status by religion,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Economic activity status (10 categories) Code', 'Economic activity status (10 categories)', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM023/editions/2021/versions/1
308,Economic activity status by provision of unpaid care by general health,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Economic activity status (10 categories) Code', 'Economic activity status (10 categories)', 'Unpaid care (5 categories) Code', 'Unpaid care (5 categories)', 'General health (3 categories) Code', 'General health (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status, by provision of unpaid care, and by general health. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM022/editions/2021/versions/1
309,Economic activity status by passports held,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Economic activity status (10 categories) Code', 'Economic activity status (10 categories)', 'Passports held (11 categories) Code', 'Passports held (11 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status, and by passports held. The estimates are as at Census Day, 21 March 2021",https://api.beta.ons.gov.uk/v1/datasets/RM021/editions/2021/versions/1
310,Economic activity status by living arrangements,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Economic activity status (7 categories) Code', 'Economic activity status (7 categories)', 'Living arrangements (10 categories) Code', 'Living arrangements (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales by economic activity status and by living arrangements. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM020/editions/2021/versions/1
311,Economic activity status by hours worked by disability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Economic activity status and hours worked (20 categories) Code', 'Economic activity status and hours worked (20 categories)', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status, by hours worked and by disability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM019/editions/2021/versions/1
312,Economic activity status by ethnic group,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Economic activity status (10 categories) Code', 'Economic activity status (10 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM018/editions/2021/versions/1
313,Economic activity status by country of birth,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Economic activity status (10 categories) Code', 'Economic activity status (10 categories)', 'Country of birth (13 categories) Code', 'Country of birth (13 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by economic activity status and by country of birth. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM017/editions/2021/versions/1
314,Distance travelled to work by occupation,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Distance travelled to work (5 categories) Code', 'Distance travelled to work (5 categories)', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by distance travelled to work and by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM016/editions/2021/versions/1
315,Distance travelled to work by car or van availability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Distance travelled to work (5 categories) Code', 'Distance travelled to work (5 categories)', 'Car or van availability (3 categories) Code', 'Car or van availability (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by distance travelled to work and by car or van availability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM015/editions/2021/versions/1
316,Distance travelled to work by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Distance travelled to work (5 categories) Code', 'Distance travelled to work (5 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by distance travelled to work and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM014/editions/2021/versions/1
317,Country of birth by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Country of birth (12 categories) Code', 'Country of birth (12 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by country of birth and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM011/editions/2021/versions/1
318,Country of birth by ethnic group,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Country of birth (12 categories) Code', 'Country of birth (12 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by country of birth and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM010/editions/2021/versions/1
